topicname,totalQuestions,unansweredQuestions
Molar,2,0
Mold,3,0
Mole,6,0
Mononucleosis,3,0
Mood Swing,1,0
Morning After Pill,1,0
Morning Sickness,1,0
Morphine,2,0
Motion Sickness,1,0
Mouth,21,0
Mouth Ulcers,1,0
Movement,6,0
Mucus,1,0
Multiple Sclerosis,17,0
Multivitamin,16,0
Mumps,8,0
Muscle,32,0
Myasthenia Gravis,2,0
NAFLD,5,0
NASH,5,0
Nail,1,0
Nail Fungus,1,0
Naproxen,5,0
Narcolepsy,2,0
Narcotic,2,0
Nasal Spray,1,0
Nausea,13,0
Nebulization,1,0
Neck,23,0
Nerve,2,0
Neuropathy,1,0
Newborn,2,0
Nicotine,1,0
Night Terror,1,0
Nightmare,3,0
Nose,9,0
Nostril,1,0
Nsaid,2,0
Numbness,1,0
Nutrition,4,0
Oatmeal,6,0
Obesity,10,1
Obstructive Sleep Apnea,3,0
Oil,8,0
Olive,1,0
Omega-3,1,0
Oral Cancer,1,0
Organ,6,0
Orgasm,1,0
Osteoarthritis,5,0
Osteoporosis,6,0
Ovarian Cancer,7,0
Ovary,12,0
Over The Counter,72,1
Overactive Bladder,4,0
Ovulation,3,0
Oxycodone,6,0
Pacemaker,1,0
Pain,113,0
Pain Relief,1,0
Painful Urination,1,0
Pancreas,1,0
Pancreatic Cancer,7,0
Pancreatitis,2,0
Panic Attack,9,0
Pap Test,6,0
Paranoid Behavior,1,0
Paraphimosis,3,0
Parenting,1,0
Parkinson's Disease,17,0
Peanut,2,0
Peanut Butter,1,0
Pedialyte,2,0
Pelvic Area,1,0
Pelvis,6,0
Penicillin,5,0
Penile Cancer,4,0
Penis,14,0
Peptic Ulcer,2,0
Perimenopause,5,0
Period,38,0
Periodontitis,1,0
Peripheral Artery Disease,2,0
Pets,3,0
Physical Therapy,1,0
Piercing,1,0
Pilates,1,0
Pilonidal Cyst,4,0
Pinched Nerve,4,0
Pink Eye,1,0
Plant,1,0
Plantar Fasciitis,5,0
Plantar Wart,1,0
Plastic Surgery,4,0
Pleurisy,5,0
Pneumonia,8,0
Poison Ivy,10,0
Poison Oak,1,0
Poisoning,5,0
Polycystic Ovarian Syndrome,5,0
Polyp,2,0
Pore,1,0
Pork,1,0
Post-Menopause,1,0
Post-Traumatic Stress Disorder,2,0
Postpartum Depression,1,0
Potassium,6,0
Potato,1,0
Pregnancy,162,3
Pregnancy Test,8,0
Premature Ejaculation,4,0
Premature Menopause,1,0
Prenatal Vitamin,6,0
Pressure,2,0
Priapism,4,0
Prostate,10,0
Prostate Cancer,21,0
Prostate-Specific Antigen Test,7,0
Protein,1,0
Protein S Deficiency,2,0
Proton Pump Inhibitor,5,0
Psoriasis,34,3
Puffiness,2,0
Pulmonary Embolism,2,0
Pulse,4,0
Pupil,1,0
Quit Smoking,8,0
Radial Keratotomy,1,0
Radical Prostatectomy,1,0
Radiculopathy,2,0
Rash,14,0
Raspberry,2,1
Reaction,9,0
Red Wine,1,0
Rehabilitation,3,0
Restless Leg Syndrome,2,0
Restless Legs Syndrome,3,0
Restlessness,1,1
Retina,1,0
Retrograde Ejaculation,3,0
Rheumatoid Arthritis,12,0
Rhinoplasty,5,0
Rice,2,0
Ringworm,3,0
Rosacea,3,0
Running,13,1
Runny Nose,2,0
SIDS,2,0
Salad,4,0
Salmon,1,0
Salt,5,0
Scabies,5,0
Scalp,6,0
Scar,9,0
Schizophrenia,1,0
Sciatica,7,1
Scleroderma,6,0
Scoliosis,2,0
Scrape,2,0
Screening,8,0
Scrotum,2,0
Sea Sickness,1,0
Seborrhea,1,0
Second Degree Burn,1,0
Seizure,16,0
Self-Exam,1,0
Sepsis,3,0
Serotonin,1,0
Sexual Dysfunction,2,0
Sexual Intercourse,54,0
Sexual Problem,7,0
Sexually Transmitted Disease,2,0
Shaving,3,0
Shellfish,4,0
Shift Work Sleep Disorder,2,0
Shingles,11,0
Short Stature,2,0
Shoulder,3,0
Sinus,11,0
Sinus Infection,8,0
Skin,128,0
Skin Cancer,2,0
Skin Tag,1,0
Sleep Apnea,7,0
Sleep Disorder,3,0
Sleepiness,1,0
Sleepwalking,1,0
Smell,2,0
Smoking,8,0
Snack,1,0
Snorer,4,0
Soda,8,0
Sodium,1,0
Sore,2,0
Sore Throat,8,0
Soup,2,0
Soy,1,0
Spasm,4,0
Sperm,13,1
Spider Bite,6,0
Spider Vein,2,0
Spina Bifida,1,0
Spinach,1,0
Spinal Stenosis,3,0
Spit,4,0
Spondylitis,2,0
Spotting,3,0
Sprain,5,0
Squash,2,0
St. John's Wort,1,0
Staph Infection,3,0
Stent,4,0
Steroid,10,0
Sting,7,0
Stitches,1,0
Stomach,30,0
Stomach Cancer,1,0
Stomachache,2,0
Strep Throat,5,0
Stress,22,0
Stress Fracture,1,0
Stress Incontinence,1,0
Stretch Mark,1,0
Stroke,5,0
Stuffy Nose,3,0
Sty,1,0
Suicide,4,0
Sulfur,1,0
Sunburn,1,0
Sunscreen,15,0
Supplement,14,1
Surgery,39,0
Swallow,4,0
Swallowing Problem,2,0
Sweating,4,0
Sweet Potato,1,0
Swelling,30,0
Swine Flu,18,0
Syrup,4,0
Systemic,1,0
Tai Chi,1,0
Taste,6,0
Tattoo,8,0
Tea,1,0
Teething,7,0
Temperature,4,0
Tendon,1,0
Tendonitis,1,0
Tension Headache,2,0
Testicle,2,0
Testicular Cancer,4,0
Testosterone,3,0
Tetanus,1,0
Thermometer,1,0
Thigh,4,0
Third Trimester,1,0
Throat,4,0
Thrush,9,0
Thumb,1,0
Thyroid,9,0
Thyroiditis,2,0
Tick,1,0
Tightness,1,0
Tinnitus,2,0
Toddler,19,0
Toe,1,0
Tofu,1,0
Tomato,1,0
Tongue,16,0
Tonsil,3,0
Tooth,87,0
Tooth Decay,5,0
Toothache,5,0
Torso,1,0
Torticollis,2,0
Transfusion,2,0
Transient Ischemia Attack,1,0
Trauma,1,0
Travel,7,0
Traveler's Diarrhea,12,0
Tremor,1,0
Tryptophan,1,0
Tuberculosis,3,0
Turkey,2,0
Type 1 Diabetes,2,0
Type 2 Diabetes,4,0
Ulcer,4,0
Ulcerative Colitis,3,0
Ultrasound,1,0
Urethra,1,0
Uric Acid,1,0
Urinary Incontinence,4,0
Urinary Tract Infection,8,0
Urination,9,0
Uterus,2,1
Vaccination,5,0
Vaccines,11,0
Vagina,22,1
Vaginal Discharge,1,0
Varicose Vein,4,0
Vascular Dementia,2,0
Vasectomy,2,0
Vegetable,2,0
Vein,3,0
Vinegar,7,1
Virus,6,0
Vision,40,0
Vitamin,20,0
Vitamin A,3,0
Vitamin C,1,0
Vitamin D,22,1
Vitamin K,1,0
Vitiligo,28,2
Vocal Cord,1,0
Vomit,10,0
Waist,1,0
Walking,5,0
Walnut,1,0
Wart,6,0
Weakness,3,0
Weight,28,0
Weight Gain,10,0
Weight Loss,26,0
Weight Loss Pill,3,0
Wheat,1,0
Whooping Cough,13,1
Wine,4,0
Wisdom Tooth,3,0
Workout,3,0
Worm,1,0
Wound,4,0
Wrinkle,16,0
Wrist,4,0
X-ray,4,0
Yeast,2,0
Yeast Infection,8,1
Yoga,3,0
Yogurt,3,0
Zinc,1,0
Zinc Oxide,1,0
flaxseed oil,1,0
methicillin resistant staphylococcus aureus,11,0
