Source,Target,Weight
Drug Test,Attention Deficit Hyperactivity Disorder,4
Drug Test,Testicle,1
Drug Test,Drug Abuse,4
Drug Test,Echocardiogram,6
Drug Test,Breast,1
Drug Test,Over The Counter,1
Drug Test,Depression,2
Drug Test,Herniated Disc,1
Drug Test,Uterus,2
Drug Test,Tongue,3
Drug Test,Ultrasound,1
Drug Test,Skin Cancer,1
Drug Test,Meal,2
Drug Test,Back Pain,3
Drug Test,Impotence,1
Drug Test,Blood Test,6
Drug Test,Anxiety,2
Drug Test,Manic Depressive,1
Drug Test,Numbness,2
Drug Test,Implant Radiation,2
Drug Test,Dopamine,1
Drug Test,Prostate Cancer,2
Drug Test,Morning After Pill,3
Drug Test,Vitamin C,2
Drug Test,Mammogram,1
Drug Test,ANA Test,6
Drug Test,Hormone,2
Drug Test,Pain,1
Drug Test,Weight Loss Pill,1
Drug Test,Lump,1
Drug Test,Ginkgo Biloba,2
Drug Test,Ovarian Cancer,6
Drug Test,Self-Exam,1
Drug Test,Aspirin,2
Drug Test,Exposure,2
Drug Test,Drug,4
Drug Test,Heart,1
Drug Test,Grapefruit,4
Drug Test,Acetaminophen,1
Drug Test,Quit Smoking,2
Drug Test,Acupuncture,1
Drug Test,Breast Self Exam,1
Drug Test,Testicular Cancer,1
Drug Test,Pregnancy Test,6
Drug Test,Proton Pump Inhibitor,2
Drug Test,Hydrocodone,1
Drug Test,Allergy,1
Drug Test,Addiction,1
Drug Test,Benign Prostatic Hyperplasia,2
Stuffy Nose,Lotion,1
Stuffy Nose,Baby Bottle Tooth Decay,1
Stuffy Nose,Organ,1
Stuffy Nose,SIDS,6
Stuffy Nose,Morning Sickness,1
Stuffy Nose,Rash,2
Stuffy Nose,Bedbug,2
Stuffy Nose,Rice,1
Stuffy Nose,Anus,1
Stuffy Nose,Meningitis,1
Stuffy Nose,Whooping Cough,1
Stuffy Nose,Hyperthyroidism,1
Stuffy Nose,Mouth Ulcers,7
Stuffy Nose,Ear Drum,2
Stuffy Nose,Teething,7
Stuffy Nose,Broken Toe,1
Stuffy Nose,Thumb,2
Stuffy Nose,Urination,1
Stuffy Nose,Finger,1
Stuffy Nose,Toe,1
Stuffy Nose,Thrush,5
Stuffy Nose,Breastfeed,6
Stuffy Nose,Rosacea,3
Stuffy Nose,Canker Sore,3
Stuffy Nose,Spider Bite,3
Stuffy Nose,Nostril,6
Stuffy Nose,Sinus,7
Stuffy Nose,Peripheral Artery Disease,1
Stuffy Nose,Lung,1
Stuffy Nose,Sweating,1
Stuffy Nose,Lip,1
Stuffy Nose,Pilonidal Cyst,1
Stuffy Nose,Spider Vein,1
Stuffy Nose,Bad Breath,2
Stuffy Nose,Tattoo,1
Stuffy Nose,Attention Deficit Hyperactivity Disorder,1
Stuffy Nose,Puffiness,4
Stuffy Nose,Plantar Fasciitis,1
Stuffy Nose,Sore,2
Stuffy Nose,Birth,1
Stuffy Nose,Chondromalacia Patella,1
Stuffy Nose,Tendon,5
Stuffy Nose,Sore Throat,3
Stuffy Nose,Stomachache,1
Stuffy Nose,Infant,2
Stuffy Nose,Nail Fungus,3
Stuffy Nose,Mucus,6
Stuffy Nose,Sting,7
Stuffy Nose,Skin,3
Stuffy Nose,Sinus Infection,1
Stuffy Nose,Choking,1
Stuffy Nose,Crying,6
Stuffy Nose,Oxycodone,2
Stuffy Nose,Cereal,1
Stuffy Nose,Baby,6
Stuffy Nose,Polyp,1
Stuffy Nose,Nutrition,1
Stuffy Nose,Torticollis,7
Stuffy Nose,Childhood Obesity,1
Stuffy Nose,Over The Counter,1
Stuffy Nose,Turkey,1
Stuffy Nose,Ear Infection,2
Stuffy Nose,Hoarseness,2
Stuffy Nose,Ankle,1
Stuffy Nose,AIDS,1
Stuffy Nose,Diaper Rash,7
Stuffy Nose,Itch,4
Stuffy Nose,Castor Oil,2
Stuffy Nose,Neck,1
Stuffy Nose,Wart,1
Stuffy Nose,Tongue,3
Stuffy Nose,Torso,3
Stuffy Nose,Cold Sore,6
Stuffy Nose,Shingles,1
Stuffy Nose,Pancreas,1
Stuffy Nose,Colic,6
Stuffy Nose,Aging,1
Stuffy Nose,Contact Dermatitis,1
Stuffy Nose,Tightness,3
Stuffy Nose,Thermometer,1
Stuffy Nose,Healing,3
Stuffy Nose,Chigger,2
Stuffy Nose,Foot,2
Stuffy Nose,Skin Tag,1
Stuffy Nose,Drainage,5
Stuffy Nose,Vision,1
Stuffy Nose,Insect Bite,6
Stuffy Nose,Pinched Nerve,2
Stuffy Nose,Tremor,1
Stuffy Nose,Foreskin,3
Stuffy Nose,Fitness,1
Stuffy Nose,Paraphimosis,3
Stuffy Nose,Spina Bifida,2
Stuffy Nose,Dry Mouth,3
Stuffy Nose,Fuzziness,2
Stuffy Nose,Cough,3
Stuffy Nose,Rhinoplasty,7
Stuffy Nose,Vitamin K,1
Stuffy Nose,Runny Nose,1
Stuffy Nose,Bee Sting,3
Stuffy Nose,Autism,1
Stuffy Nose,Pink Eye,1
Stuffy Nose,Temperature,1
Stuffy Nose,Travel,1
Stuffy Nose,Vaginal Discharge,4
Stuffy Nose,Mayonnaise,2
Stuffy Nose,Pain,1
Stuffy Nose,Infection,1
Stuffy Nose,Coldness,4
Stuffy Nose,Pelvic Area,5
Stuffy Nose,Bruise,3
Stuffy Nose,Motion Sickness,2
Stuffy Nose,Supplement,1
Stuffy Nose,Cold,4
Stuffy Nose,Athlete's Foot,2
Stuffy Nose,Nebulization,1
Stuffy Nose,Pain Relief,3
Stuffy Nose,Fever,2
Stuffy Nose,Wrist,1
Stuffy Nose,Lymph Node,1
Stuffy Nose,Deep Vein Thrombosis,1
Stuffy Nose,Hepatitis A,1
Stuffy Nose,Croup,3
Stuffy Nose,Strep Throat,3
Stuffy Nose,Buttocks,3
Stuffy Nose,Oral Cancer,3
Stuffy Nose,Obesity,1
Stuffy Nose,Parenting,1
Stuffy Nose,Vitiligo,2
Stuffy Nose,Mouth,3
Stuffy Nose,Middle Ear,5
Stuffy Nose,Poison Oak,1
Stuffy Nose,Narcotic,1
Stuffy Nose,Honey,1
Stuffy Nose,Arm,2
Stuffy Nose,Dry Skin,2
Stuffy Nose,Smell,4
Stuffy Nose,Virus,4
Stuffy Nose,Spit,1
Stuffy Nose,Scleroderma,2
Stuffy Nose,General Anesthesia,1
Stuffy Nose,Toothache,1
Stuffy Nose,Ears,3
Stuffy Nose,Belch,6
Stuffy Nose,Pregnancy,6
Stuffy Nose,Ammonia,1
Stuffy Nose,Nasal Spray,3
Stuffy Nose,Tonsil,3
Stuffy Nose,Sea Sickness,2
Stuffy Nose,Quit Smoking,2
Stuffy Nose,Big Toe,1
Stuffy Nose,Pneumonia,1
Stuffy Nose,Esophagus,3
Stuffy Nose,Insurance,1
Stuffy Nose,Freckle,1
Stuffy Nose,Ringworm,3
Stuffy Nose,Circumcision,3
Stuffy Nose,Toddler,2
Stuffy Nose,Arthritis,1
Stuffy Nose,Carpal Tunnel Syndrome,1
Stuffy Nose,Tick,4
Stuffy Nose,Balanitis,3
Stuffy Nose,Hemorrhoid,4
Stuffy Nose,Genital Herpes,3
Stuffy Nose,Nose,6
Stuffy Nose,Lymphedema,3
Stuffy Nose,Heel,1
Stuffy Nose,Eyelid,1
Stuffy Nose,Angina,1
Penile Cancer,Organ,2
Penile Cancer,Abdominal Pain,1
Penile Cancer,Endometrial Cancer,8
Penile Cancer,Ligament,1
Penile Cancer,Morning Sickness,1
Penile Cancer,Nightmare,1
Penile Cancer,Arrhythmia,1
Penile Cancer,Whooping Cough,1
Penile Cancer,Prostate-Specific Antigen Test,6
Penile Cancer,Periodontitis,1
Penile Cancer,Eustachian Tube Dysfunction,3
Penile Cancer,Ear Drum,1
Penile Cancer,Breastfeed,1
Penile Cancer,Liver,6
Penile Cancer,Diabetes,1
Penile Cancer,Nostril,1
Penile Cancer,Varicose Vein,1
Penile Cancer,Epilepsy,1
Penile Cancer,Lung,1
Penile Cancer,Kidney Cancer,7
Penile Cancer,Sweating,2
Penile Cancer,Condom,6
Penile Cancer,Pancreatic Cancer,6
Penile Cancer,HIV,1
Penile Cancer,Spider Vein,1
Penile Cancer,Period,1
Penile Cancer,Scrotum,1
Penile Cancer,Night Terror,1
Penile Cancer,Anesthesia,2
Penile Cancer,Screening,6
Penile Cancer,Testicle,1
Penile Cancer,Chondromalacia Patella,1
Penile Cancer,Reaction,1
Penile Cancer,Ehlers-Danlos Syndrome,2
Penile Cancer,Choking,2
Penile Cancer,Breast,3
Penile Cancer,Overactive Bladder,1
Penile Cancer,Childhood Obesity,2
Penile Cancer,AIDS,1
Penile Cancer,Ablation,1
Penile Cancer,Uterus,2
Penile Cancer,Cyst,1
Penile Cancer,Colon Cancer,7
Penile Cancer,Human Papillomavirus,1
Penile Cancer,Blood Sugar,1
Penile Cancer,Foot,1
Penile Cancer,Erection,12
Penile Cancer,Genetic Disorder,1
Penile Cancer,Fracture,1
Penile Cancer,Impotence,6
Penile Cancer,Priapism,6
Penile Cancer,Heart Disease,1
Penile Cancer,Congestive Heart Failure,1
Penile Cancer,Implant Radiation,5
Penile Cancer,Paraphimosis,6
Penile Cancer,Cancer,6
Penile Cancer,Prostate Cancer,6
Penile Cancer,Stretch Mark,1
Penile Cancer,HIV Test,1
Penile Cancer,Rhinoplasty,1
Penile Cancer,Mammogram,6
Penile Cancer,Travel,3
Penile Cancer,Vaginal Discharge,1
Penile Cancer,Vaccines,1
Penile Cancer,Colonoscopy,1
Penile Cancer,Penis,12
Penile Cancer,Catheter,1
Penile Cancer,Breast Cancer,6
Penile Cancer,Tomato,5
Penile Cancer,Ejaculation,1
Penile Cancer,Motion Sickness,1
Penile Cancer,Schizophrenia,2
Penile Cancer,Lump,3
Penile Cancer,Seizure,1
Penile Cancer,Hair,1
Penile Cancer,Wrist,1
Penile Cancer,Deep Vein Thrombosis,1
Penile Cancer,Hyperglycemia,1
Penile Cancer,Pelvis,2
Penile Cancer,Ovarian Cancer,6
Penile Cancer,Self-Exam,1
Penile Cancer,Paranoid Behavior,2
Penile Cancer,Obesity,2
Penile Cancer,Type 2 Diabetes,2
Penile Cancer,Hypothyroidism,1
Penile Cancer,Fear,2
Penile Cancer,Acne,1
Penile Cancer,Genetic Testing,1
Penile Cancer,Thigh,1
Penile Cancer,Sea Sickness,1
Penile Cancer,Premature Menopause,1
Penile Cancer,Breast Self Exam,3
Penile Cancer,Erectile Dysfunction,2
Penile Cancer,Testicular Cancer,7
Penile Cancer,Cardioversion,1
Penile Cancer,Prostate,6
Penile Cancer,Adrenal Gland,1
Penile Cancer,Alopecia,1
Penile Cancer,Carpal Tunnel Syndrome,1
Penile Cancer,Anemia,1
Penile Cancer,Balanitis,6
Penile Cancer,Benign Prostatic Hyperplasia,6
Caffeine,Yogurt,3
Caffeine,Mitochondrial Myopathy,1
Caffeine,Stress,2
Caffeine,Organ,4
Caffeine,Abdominal Pain,4
Caffeine,Myasthenia Gravis,1
Caffeine,Cesarean Section,1
Caffeine,Salt,1
Caffeine,Hamburger,2
Caffeine,Juice,5
Caffeine,Food Poisoning,3
Caffeine,Rice,1
Caffeine,Meningitis,1
Caffeine,Craving,3
Caffeine,Almond,1
Caffeine,Sweet Potato,1
Caffeine,Calorie,4
Caffeine,Spinach,11
Caffeine,Breastfeed,5
Caffeine,Diet,3
Caffeine,Rosacea,2
Caffeine,Cooking,3
Caffeine,Nostril,1
Caffeine,Radiculopathy,1
Caffeine,Keloid,1
Caffeine,Bone Spurs,6
Caffeine,Pancreatic Cancer,1
Caffeine,Kidney Disease,1
Caffeine,Bacterium,2
Caffeine,Fruit,1
Caffeine,Lupus,2
Caffeine,Alcoholic Beverage,1
Caffeine,Workout,1
Caffeine,Cranberry,1
Caffeine,Weight Loss,1
Caffeine,Ginseng,1
Caffeine,Sciatica,1
Caffeine,Diet Pills,1
Caffeine,B Complex Vitamins,1
Caffeine,Muscle,1
Caffeine,Dessert,3
Caffeine,Bladder,2
Caffeine,Birth,2
Caffeine,Hair Loss,1
Caffeine,B12,1
Caffeine,Milk,5
Caffeine,Vagina,2
Caffeine,Crying,1
Caffeine,Hip Pain,6
Caffeine,H. Pylori,1
Caffeine,Cereal,1
Caffeine,Overactive Bladder,4
Caffeine,Soup,1
Caffeine,Exercise,1
Caffeine,Calcium,8
Caffeine,Cyst,1
Caffeine,Vegetable,1
Caffeine,Oil,1
Caffeine,Allergic Reaction,3
Caffeine,Food,3
Caffeine,Nausea,1
Caffeine,Meal,2
Caffeine,Birth Defect,4
Caffeine,Radial Keratotomy,1
Caffeine,Soda,6
Caffeine,Squash,1
Caffeine,Fracture,6
Caffeine,Pinched Nerve,1
Caffeine,Polycystic Ovarian Syndrome,1
Caffeine,Fitness,2
Caffeine,Dopamine,1
Caffeine,Cramps,7
Caffeine,Insomnia,6
Caffeine,Kidney Stone,6
Caffeine,Lactose,5
Caffeine,Vitamin D,2
Caffeine,Food Allergy,3
Caffeine,Fish,1
Caffeine,Dehydration,3
Caffeine,Urinary Incontinence,4
Caffeine,Incontinence,1
Caffeine,Vaginal Discharge,1
Caffeine,Stroke,1
Caffeine,Pain,1
Caffeine,Catheter,2
Caffeine,Breast Cancer,2
Caffeine,Weight Loss Pill,1
Caffeine,Multivitamin,1
Caffeine,Ejaculation,2
Caffeine,Supplement,6
Caffeine,Diabetic Neuropathy,1
Caffeine,Rheumatoid Arthritis,1
Caffeine,Deep Vein Thrombosis,1
Caffeine,Pelvis,4
Caffeine,Scrape,1
Caffeine,Hyperkalemia,1
Caffeine,Salad,1
Caffeine,Potato,2
Caffeine,Vitamin,1
Caffeine,Poison Oak,1
Caffeine,Wine,3
Caffeine,Osteoporosis,12
Caffeine,Lactase,5
Caffeine,Walnut,3
Caffeine,Grapefruit,3
Caffeine,Coffee,12
Caffeine,Hysterectomy,1
Caffeine,Drinking,3
Caffeine,Ovary,1
Caffeine,Dark Chocolate,4
Caffeine,Nerve,1
Caffeine,Fetus,2
Caffeine,Weight,1
Caffeine,Carbohydrate,4
Caffeine,Scar,1
Caffeine,Kidney,2
Caffeine,Shellfish,3
Caffeine,Urinary Tract Infection,2
Caffeine,Tonsil,1
Caffeine,Dairy,5
Caffeine,Premature Menopause,1
Caffeine,Bloating,1
Caffeine,Prenatal Vitamin,1
Caffeine,Surgery,1
Caffeine,Arthritis,1
Caffeine,Cirrhosis,1
Caffeine,Balanitis,1
Caffeine,Coconut Oil,1
Caffeine,Throat,1
Swine Flu,Mumps,7
Swine Flu,Anus,1
Swine Flu,Mononucleosis,2
Swine Flu,Whooping Cough,8
Swine Flu,Chemotherapy,6
Swine Flu,Herpes,1
Swine Flu,Reaction,6
Swine Flu,Infant,4
Swine Flu,Baby,3
Swine Flu,Nail,4
Swine Flu,Ear Infection,1
Swine Flu,Hoarseness,1
Swine Flu,Wart,2
Swine Flu,Torso,1
Swine Flu,Shingles,1
Swine Flu,Thermometer,1
Swine Flu,Human Papillomavirus,3
Swine Flu,Tetanus,4
Swine Flu,Vaccination,8
Swine Flu,Cough,2
Swine Flu,Pink Eye,1
Swine Flu,Travel,1
Swine Flu,Bacterial Vaginosis,1
Swine Flu,Vaccines,7
Swine Flu,Infection,2
Swine Flu,Coldness,4
Swine Flu,Cold,4
Swine Flu,Immune System,7
Swine Flu,Fever,1
Swine Flu,Herpes Simplex,3
Swine Flu,Hepatitis A,1
Swine Flu,Hepatitis B,2
Swine Flu,Gallstone,6
Swine Flu,Strep Throat,1
Swine Flu,Chickenpox,6
Swine Flu,Aspirin,6
Swine Flu,Injection,10
Swine Flu,Middle Ear,4
Swine Flu,Narcotic,1
Swine Flu,Honey,3
Swine Flu,Peanut Butter,6
Swine Flu,Peanut,6
Swine Flu,Virus,3
Swine Flu,Ears,1
Swine Flu,Nasal Spray,1
Swine Flu,Flu,12
Swine Flu,Pneumonia,1
Swine Flu,Hepatitis,2
Swine Flu,Toddler,1
Swine Flu,Genital Herpes,3
Cosmetic Surgery,Tooth Decay,1
Cosmetic Surgery,Stress,4
Cosmetic Surgery,Poisoning,4
Cosmetic Surgery,Birthmark,1
Cosmetic Surgery,Obstructive Sleep Apnea,2
Cosmetic Surgery,Intrauterine Device,6
Cosmetic Surgery,Inhaler,1
Cosmetic Surgery,Liposuction,9
Cosmetic Surgery,Amoxicillin,2
Cosmetic Surgery,Heart Surgery,1
Cosmetic Surgery,Methadone,4
Cosmetic Surgery,X-ray,3
Cosmetic Surgery,Penicillin,1
Cosmetic Surgery,Neuropathy,3
Cosmetic Surgery,Nostril,1
Cosmetic Surgery,Epilepsy,1
Cosmetic Surgery,Cervical Conization,1
Cosmetic Surgery,Pilonidal Cyst,1
Cosmetic Surgery,Multiple Sclerosis,1
Cosmetic Surgery,Weight Loss,1
Cosmetic Surgery,Anesthesia,3
Cosmetic Surgery,Cocaine,4
Cosmetic Surgery,Attention Deficit Hyperactivity Disorder,4
Cosmetic Surgery,Dental,5
Cosmetic Surgery,Stomachache,2
Cosmetic Surgery,Stomach Cancer,3
Cosmetic Surgery,Lubricants,1
Cosmetic Surgery,Oxycodone,4
Cosmetic Surgery,Drug Abuse,4
Cosmetic Surgery,Alcohol Abuse,4
Cosmetic Surgery,Staph Infection,1
Cosmetic Surgery,Chlamydia,1
Cosmetic Surgery,Medicaid,3
Cosmetic Surgery,Tongue,1
Cosmetic Surgery,Stress Incontinence,6
Cosmetic Surgery,Tightness,1
Cosmetic Surgery,Tryptophan,1
Cosmetic Surgery,Health insurance,3
Cosmetic Surgery,Fracture,1
Cosmetic Surgery,Foreskin,1
Cosmetic Surgery,Marijuana,4
Cosmetic Surgery,Alcoholism,4
Cosmetic Surgery,Sexually Transmitted Disease,4
Cosmetic Surgery,Affordable Care Act,3
Cosmetic Surgery,Plastic Surgery,7
Cosmetic Surgery,Schizophrenia,1
Cosmetic Surgery,Diabetic Neuropathy,3
Cosmetic Surgery,Libido,1
Cosmetic Surgery,Ulcerative Colitis,3
Cosmetic Surgery,Sexual Intercourse,1
Cosmetic Surgery,Paranoid Behavior,1
Cosmetic Surgery,Mouth,1
Cosmetic Surgery,Drug,4
Cosmetic Surgery,Ice Cream,1
Cosmetic Surgery,Fear,3
Cosmetic Surgery,Nerve,3
Cosmetic Surgery,Belch,6
Cosmetic Surgery,Birth Control,4
Cosmetic Surgery,Molar,1
Cosmetic Surgery,Surgery,6
Cosmetic Surgery,Insurance,3
Cosmetic Surgery,Freckle,2
Cosmetic Surgery,Tooth,4
Cosmetic Surgery,Nose,1
Cosmetic Surgery,Addiction,1
Snack,Yogurt,1
Snack,Salt,6
Snack,Hamburger,2
Snack,Juice,4
Snack,Food Poisoning,1
Snack,Craving,1
Snack,High Fructose Corn Syrup,1
Snack,Sweet Potato,3
Snack,Diet,1
Snack,Cooking,9
Snack,Dizziness,2
Snack,Family,7
Snack,Bacterium,6
Snack,Fruit,7
Snack,Vinegar,4
Snack,Alcoholic Beverage,2
Snack,Cranberry,4
Snack,Stomachache,1
Snack,Cocoa,3
Snack,Syrup,1
Snack,Soup,1
Snack,Cavity,3
Snack,Calcium,2
Snack,Hunger,3
Snack,Healthy Eating,1
Snack,Aging,1
Snack,Vegetable,3
Snack,Oil,1
Snack,Allergic Reaction,1
Snack,Food,1
Snack,Meat,4
Snack,Soy,3
Snack,Squash,3
Snack,Makeup,2
Snack,Fertility,1
Snack,Boil,2
Snack,Food Allergy,1
Snack,Fish,1
Snack,Dehydration,2
Snack,Red Wine,1
Snack,Temperature,1
Snack,Taste,7
Snack,Cuts,6
Snack,Pork,4
Snack,Salad,6
Snack,Potato,1
Snack,Tea,6
Snack,Poison Oak,1
Snack,Wine,1
Snack,Heart,1
Snack,Narcotic,1
Snack,Walnut,1
Snack,Grapefruit,2
Snack,Dry Skin,2
Snack,Fiber,3
Snack,Drinking,7
Snack,Carbohydrate,6
Snack,Shellfish,1
Snack,Tonsil,1
Snack,Dairy,3
Snack,Plant,3
Snack,Poison Ivy,3
Snack,Coconut Oil,1
Snack,Throat,1
Snack,Eyelid,1
Yogurt,Burn,6
Yogurt,Drug Overdose,3
Yogurt,Stress,3
Yogurt,Salt,3
Yogurt,Hamburger,5
Yogurt,Kale,3
Yogurt,Rice,3
Yogurt,Sodium,1
Yogurt,Cellulite,5
Yogurt,Periodontitis,1
Yogurt,Hypothermia,1
Yogurt,Sweet Potato,3
Yogurt,Calorie,1
Yogurt,Spinach,3
Yogurt,Breastfeed,2
Yogurt,Potassium,3
Yogurt,Diet,6
Yogurt,Cooking,1
Yogurt,Family,2
Yogurt,Tofu,3
Yogurt,Edema,1
Yogurt,Fruit,3
Yogurt,Vinegar,1
Yogurt,Lupus,2
Yogurt,Abdominal Obesity,5
Yogurt,Ginseng,3
Yogurt,B Complex Vitamins,6
Yogurt,Muscle,2
Yogurt,Dessert,1
Yogurt,B12,6
Yogurt,Milk,1
Yogurt,Third Trimester,1
Yogurt,Cereal,3
Yogurt,Menstrual Cramp,3
Yogurt,Nutrition,6
Yogurt,Low Carb Diet,6
Yogurt,Cocoa,2
Yogurt,Soup,1
Yogurt,Iron,1
Yogurt,Cavity,2
Yogurt,Calcium,6
Yogurt,Hunger,7
Yogurt,Healthy Eating,1
Yogurt,Vegetable,4
Yogurt,Oil,5
Yogurt,Food,7
Yogurt,Tryptophan,1
Yogurt,Nausea,3
Yogurt,Meat,9
Yogurt,Beta Blocker,1
Yogurt,Soy,7
Yogurt,Squash,1
Yogurt,Fertility,4
Yogurt,Protein,6
Yogurt,Cramps,3
Yogurt,Cardiovascular Disease,1
Yogurt,Sunscreen,1
Yogurt,Insomnia,1
Yogurt,Kidney Stone,1
Yogurt,Lactose,1
Yogurt,Vitamin D,4
Yogurt,Fish,5
Yogurt,Temperature,1
Yogurt,Stroke,1
Yogurt,Gastric Bypass Surgery,1
Yogurt,Salmon,6
Yogurt,Breast Cancer,2
Yogurt,Multivitamin,1
Yogurt,Taste,1
Yogurt,Supplement,3
Yogurt,Cuts,2
Yogurt,Weight Gain,1
Yogurt,Deep Vein Thrombosis,1
Yogurt,Waist,5
Yogurt,Hepatitis C,1
Yogurt,Pork,9
Yogurt,Obesity,1
Yogurt,Potato,5
Yogurt,Electrogastrogram,3
Yogurt,Tea,1
Yogurt,Vitamin,3
Yogurt,Magnesium,3
Yogurt,Osteoporosis,3
Yogurt,Lactase,1
Yogurt,Walnut,3
Yogurt,Coffee,7
Yogurt,Fiber,3
Yogurt,Drinking,1
Yogurt,Body Mass Index,5
Yogurt,Fetus,2
Yogurt,Weight,1
Yogurt,Uric Acid,1
Yogurt,Carbohydrate,8
Yogurt,Pregnancy,3
Yogurt,Tonsil,1
Yogurt,Quit Smoking,1
Yogurt,Dairy,9
Yogurt,Cortisone,1
Yogurt,Amino Acids,7
Yogurt,Smoking,1
Yogurt,Prenatal Vitamin,4
Yogurt,Hepatitis,1
Yogurt,Protein S Deficiency,7
Yogurt,Plant,5
Yogurt,Poison Ivy,2
Yogurt,Biopsy,1
Yogurt,Throat,1
Yogurt,Gout,1
Yogurt,High Blood Pressure,1
Tooth Decay,Baby Bottle Tooth Decay,11
Tooth Decay,Cesarean Section,1
Tooth Decay,Birthmark,6
Tooth Decay,Meningitis,4
Tooth Decay,Wisdom Tooth,6
Tooth Decay,Liposuction,1
Tooth Decay,Amoxicillin,1
Tooth Decay,Periodontitis,6
Tooth Decay,X-ray,11
Tooth Decay,Eustachian Tube Dysfunction,1
Tooth Decay,Teething,7
Tooth Decay,Stitches,2
Tooth Decay,Broken Toe,2
Tooth Decay,Head Lice,3
Tooth Decay,Finger,6
Tooth Decay,Magnetic Resonance Imaging,1
Tooth Decay,Toe,5
Tooth Decay,Spider Bite,3
Tooth Decay,Keloid,1
Tooth Decay,Bone Spurs,4
Tooth Decay,Injury,4
Tooth Decay,Hydrocortisone,1
Tooth Decay,Anesthesia,3
Tooth Decay,Bad Breath,8
Tooth Decay,Mole,1
Tooth Decay,Jaw,1
Tooth Decay,Painful Urination,2
Tooth Decay,Psoriasis,4
Tooth Decay,Dental,13
Tooth Decay,Tendon,1
Tooth Decay,Wrinkle,1
Tooth Decay,Swelling,4
Tooth Decay,Benzoyl Peroxide,1
Tooth Decay,Skin,1
Tooth Decay,Stomach Cancer,3
Tooth Decay,Hip Pain,1
Tooth Decay,Anterior Cruciate Ligament Injury,3
Tooth Decay,Baby,4
Tooth Decay,Melasma,1
Tooth Decay,Impetigo,5
Tooth Decay,Ear Infection,1
Tooth Decay,Iron,4
Tooth Decay,Cavity,6
Tooth Decay,Ankle,2
Tooth Decay,Shaving,2
Tooth Decay,Itch,1
Tooth Decay,Herniated Disk,1
Tooth Decay,Tongue,6
Tooth Decay,Shingles,5
Tooth Decay,Aging,1
